feacha,codigo_gps,coordenada_completa,latitud,longitug,fn_valor_pastoral,dist_laguna_fría,distancia_telsen,dist_gastre,sonda_cercana,acum_anual,acum_verano
01/2017,CT2 T12,-68.2247554/-42.7672075,-42.7672075,-68.2247554,10.40,0.4319629,1.5919629,0.5280371,Laguna Fría,304.1,58.2
01/2017,CT2 T13,-68.1792331/-42.8093797,-42.8093797,-68.1792331,7.00,0.4286128,1.5886128,0.5313872,Laguna Fría,304.1,58.2
01/2017,CT2 T14,-68.1024761/-42.8341345,-42.8341345,-68.1024761,13.00,0.3766106,1.5366106,0.5833894,Laguna Fría,304.1,58.2
01/2017,CT2 T15,-68.0472067/-42.8759968,-42.8759968,-68.0472067,2.60,0.3632035,1.5232035,0.5967965,Laguna Fría,304.1,58.2
01/2017,CT2 T16,-67.978766/-42.8729725,-42.8729725,-67.978766,9.80,0.2917385,1.4517385,0.6682615,Laguna Fría,304.1,58.2
01/2017,CT2 T17,-66.7515565/-42.5272066,-42.5272066,-66.7515565,5.80,1.2812369,0.1212369,2.2412369,Telsen,215.6,53.5
01/2017,CT2 T18,-66.8109092/-42.5311179,-42.5311179,-66.8109092,12.20,1.2179729,0.0579729,2.1779729,Telsen,215.6,53.5
01/2017,CT2 T19,-66.8353454/-42.564815,-42.564815,-66.8353454,7.80,1.1598396,0.0001604,2.1198396,Telsen,215.6,53.5
01/2017,CT2 T20,-66.8533072/-42.596454,-42.596454,-66.8533072,7.80,1.1102388,0.0497612,2.0702388,Telsen,215.6,53.5
01/2017,CT2 T21,-65.9446227/-42.6019474,-42.6019474,-65.9446227,15.40,2.0134299,0.8534299,2.9734299,Telsen,215.6,53.5
01/2017,CT2 T22,-65.9904844/-42.577312,-42.577312,-65.9904844,11.20,1.9922036,0.8322036,2.9522036,Telsen,215.6,53.5
01/2017,CT2 T23,-66.0338334/-42.5443476,-42.5443476,-66.0338334,13.00,1.981819,0.821819,2.941819,Telsen,215.6,53.5
01/2017,CT2 T24,-66.082257/-42.5184357,-42.5184357,-66.082257,11.40,1.9593073,0.7993073,2.9193073,Telsen,215.6,53.5
01/2017,CT2 T25,-66.1336747/-42.4956508,-42.4956508,-66.1336747,15.80,1.9306745,0.7706745,2.8906745,Telsen,215.6,53.5
